维修工单号,问题描述,故障件,解决方案,原因分析,问题分类,产品型号,是否质量工单
WO0016977126,漏水,密封圈,更换进水口密封圈,服务技能不足,安装服务问题,J3675-ROC180,非质量工单
WO0016976300,闪绿灯不出水,线束,开鉴定单换机,指示灯板线束端子松脱,制程问题,J3675-ROC150,质量工单
WO0016978938,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017001680,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017031544,不能配网,无明确故障件,重新配网,环境与使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017053373,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC210,非质量工单
WO0016982501,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017014448,内部漏水,复合滤芯,开鉴定单换机,后置炭滤芯进水阀芯处旋融胶丝残留,来料问题,J3675-ROC180,质量工单
WO0017050202,闪绿灯不出水,无明确故障件,解决方案待定,原因待查,分类待定,J3675-ROC150,质量工单
WO0017077792,不出水,无明确故障件,开鉴定单换机,用户按压滤芯后未准确复位,环境与使用问题,J3675-ROC180,非质量工单
WO0017038159,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017096306,龙头接头处漏水,水龙头接头,重新安装,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017063120,闪绿灯不出水,主控板,开鉴定单换机,主控板回流阀引脚虚焊,来料问题,J3675-ROC150,质量工单
WO0017115372,不出水,无明确故障件,开鉴定单换机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017124831,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC180,非质量工单
WO0017139797,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017140713,频繁启动,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017151714,漏水,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017099023,内部漏水,无明确故障件,开鉴定单换机,故障未复现，推断用户按压RO滤芯按键后滤芯弹出，用户误判,环境与使用问题,J3675-ROC210,非质量工单
WO0017109158,闪绿灯不出水,无明确故障件,解决方案待定,原因待查,分类待定,J3675-ROC150,非质量工单
WO0017182416,漏水,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017181962,反水,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017129153,出水小,无明确故障件,无具体解决方案,用户自来水进水水压低,环境与使用问题,J3675-ROC150,非质量工单
WO0017147347,EE报警,水龙头线束,开鉴定单换机,龙头线束内部接触不良,来料问题,J3675-ROC150,质量工单
WO0017196530,频繁启动,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017144161,噪音/异响,无明确故障件,上门噪音测试,用户体验问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017202510,滤芯弹出,无明确故障件,复位滤芯,用户按压滤芯后弹出，机器过流保护,环境与使用问题,J3675-ROC150,非质量工单
WO0017203093,漏水,PE管,重插水龙头PE管,产品安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017118099,不出水,电源适配器,重插市电插座,回访，用户电源适配器220v插头未插到位,环境与使用问题,J3675-ROC180,非质量工单
WO0017147647,不出水,无明确故障件,开鉴定单退机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017207039,噪音 无法配网,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017232625,TDS值不显示,线束端子,重插TDS传感器,TDS传感器线束端子松脱,制程问题,J3675-ROC180,质量工单
WO0017181153,闪绿灯不出水,故障件待定,解决方案待定,原因待查,分类待定,J3675-ROC150,质量工单
WO0017178045,进水三通漏水,进水三通,更换进水三通,非产品质量问题,非产品本身质量问题,J3675-ROC150,非质量工单
WO0017147838,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017138392,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,非质量工单
WO0017238894,第一杯水TDS值高,无明确故障件,解释说明，业务端加强宣贯,未知,环境与使用问题,J3675-ROC210,非质量工单
WO0017198016,出水气泡，接头松动,无明确故障件,解释 ，紧固接头,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017257293,闪绿灯不出水,无明确故障件,开鉴定单退机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017264403,龙头开关旋转生涩,水龙头,更换水龙头,原因待查,来料问题,J3675-ROC210,质量工单
WO0017263050,废水管弹出,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017243545,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017269804,漏水保护,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017223879,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017214620,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017267831,水质问题,无明确故障件,检测水质正常,用户误判,环境与使用问题,J3675-ROC210,非质量工单
WO0017235088,用户下水问题,无明确故障件,重新安装,非产品质量问题,非产品本身质量问题,J3675-ROC180,非质量工单
WO0017222221,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,非质量工单
WO0017228762,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017287893,用户下水问题,无明确故障件,疏通下水道,用户下水道堵塞,非产品本身质量问题,J3675-ROC150,非质量工单
WO0017291169,水龙头漏水,水龙头,更换水龙头,水龙头阀芯漏水,来料问题,J3675-ROC210,质量工单
WO0017247790,漏水保护,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC180,非质量工单
WO0017295540,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017295535,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017237480,闪绿灯,无明确故障件,上门检测正常,用户误判,环境与使用问题,J3675-ROC150,非质量工单
WO0017246788,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017229451,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017310010,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017309274,快插接头漏水,快插接头,更换快插接头,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017296778,闪绿灯不出水,金属三通,检修,非产品质量问题,非产品本身质量问题,J3675-ROC150,非质量工单
WO0017304235,闪绿灯不出水,故障件待定,解决方案待定,原因待查,分类待定,J3675-ROC210,质量工单
WO0017308103,水路板渗水,水路板,开鉴定单换机,误判,安装服务问题,J3675-ROC150,非质量工单
WO0017259703,闪绿灯不出水,无明确故障件,开鉴定单退机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017210714,水龙头开裂,水龙头,更换水龙头,来料不良,来料问题,J3675-ROC180,质量工单
WO0017301250,废水管弹出,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017306349,出水水质问题,无明确故障件,解释说明,用户使用问题,环境与使用问题,J3675-ROC150,非质量工单
WO0017325155,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,非质量工单
WO0017335477,闪绿灯不出水,无明确故障件,重启,用户使用问题,环境与使用问题,J3675-ROC150,非质量工单
WO0017338934,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017293013,水质检测,无明确故障件,检测水质正常,用户使用问题,环境与使用问题,J3675-ROC210,非质量工单
WO0017297292,不出水,无明确故障件,重新安装,服务技能不足,安装服务问题,J3675-ROC150,非质量工单
WO0017213024,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017338028,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,非质量工单
WO0017304414,自动排废水,无明确故障件,解释说明,用户误判,环境与使用问题,J3675-ROC150,非质量工单
WO0017298133,水龙头漏水,水龙头,开鉴定单换机,阀芯漏水,来料问题,J3675-ROC210,非质量工单
WO0017306445,噪音/异响,无明确故障件,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017320107,进水三通漏水,进水三通,更换进水三通,原因待查,非产品本身质量问题,J3675-ROC180,非质量工单
WO0017377191,自动冲洗,无明确故障件,调试,原因待查,分类待定,J3675-ROC150,质量工单
WO0017382432,E8报警,插线端子,开鉴定单换机,TDS传感器插线端子松脱,来料问题,J3675-ROC150,质量工单
WO0017330002,不出水,无明确故障件,无具体解决方案,用户按弹滤芯,环境与使用问题,J3675-ROC150,非质量工单
WO0017210895,漏水,无明确故障件,无具体解决方案,水池漏水,环境与使用问题,J3675-ROC180,非质量工单
WO0017393526,指示灯不亮,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017402100,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017343305,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,非质量工单
WO0017414342,E8报警,线束端子,开鉴定单换机,TDS传感器接线端子松脱,制程问题,J3675-ROC180,质量工单
WO0017415807,金属阀损坏,金属阀,更换,原因待查,非产品本身质量问题,J3675-ROC180,非质量工单
WO0017416508,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017351956,TDS值不显示,故障件待定,解决方案待定,原因待查,分类待定,J3675-ROC150,质量工单
WO0017353385,出水量小,无明确故障件,无具体解决方案,原因待查,环境与使用问题,J3675-ROC210,非质量工单
WO0017335515,闪绿灯不出水,接线端子,接线端子重接,接线端子松脱,制程问题,J3675-ROC150,质量工单
WO0017436637,漏水,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017434522,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017382507,TDS值高,无明确故障件,冲洗,第一杯水,环境与使用问题,J3675-ROC150,非质量工单
WO0017440394,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017376638,频繁启动,无明确故障件,开鉴定单退机,用户使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017453390,不出水,漏报开关,重装漏保,漏保误报,安装服务问题,J3675-ROC210,非质量工单
WO0017456940,内部漏水,复合滤芯漏水,重装,Ac滤芯密封圈有异物,来料问题,J3675-ROC180,质量工单
WO0017403733,水泵不工作,水泵,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017392346,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017458371,不出水,无明确故障件,重装滤芯,未知,环境与使用问题,J3675-ROC210,非质量工单
WO0017454069,龙头接头漏水处,水龙头接头,更换接头,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017459779,EE报警,水龙头,断电重启,未知,环境与使用问题,J3675-ROC180,非质量工单
WO0017468756,机器漏水,无明确故障件,重装滤芯,用户按压滤芯后弹出，滤芯未准确复位,环境与使用问题,J3675-ROC150,非质量工单
WO0017406852,内部漏水,无明确故障件,开鉴定单退机,用户使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017420662,水压高,无明确故障件,加装减压阀,自来水压高,环境与使用问题,J3675-ROC210,非质量工单
WO0017481367,TDS值不显示,线束端子,开鉴定单退机,龙头线束插接端子松脱,制程问题,J3675-ROC180,质量工单
WO0017483322,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017418962,闪绿灯不出水,接线端子,开鉴定单换机,接线端子松脱,制程问题,J3675-ROC150,非质量工单
WO0017434274,NAC松脱,无明确故障件,解决方案待定,原因待查,分类待定,J3675-ROC150,质量工单
WO0017486013,渗水,PE管,重装,产品安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017487633,EE报警,龙头线,龙头线重装,龙头线虚接,安装服务问题,J3675-ROC180,非质量工单
WO0017466425,闪绿灯不出水,无明确故障件,加装减压阀,用户水压过高,环境与使用问题,J3675-ROC150,非质量工单
WO0017384471,频繁冲洗,无明确故障件,开鉴定单退机,误判,安装服务问题,J3675-ROC180,非质量工单
WO0017440321,TPU管爆裂,TPU管,用PE管代替更换,TPU管不合格,来料问题,J3675-ROC210,质量工单
WO0017289775,水龙头掉色,水龙头,更换水龙头,用户使用威猛先生之类清洁剂擦拭,环境与使用问题,J3675-ROC150,非质量工单
WO0017503214,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017498314,测试废水、纯水量,无明确故障件,上门测试废水、纯水量,用户需求,环境与使用问题,J3675-ROC180,非质量工单
WO0017514165,漏报误报,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017517072,检测水质,无明确故障件,无具体解决方案,原因待查,环境与使用问题,J3675-ROC150,非质量工单
WO0017457514,噪音/异响,无明确故障件,清理管路,机器周围共振,环境与使用问题,J3675-ROC210,非质量工单
WO0017524039,不出水，电磁阀卡住,无明确故障件,清洗,未知,环境与使用问题,J3675-ROC180,非质量工单
WO0017527369,增压泵卡爪处漏水,卡爪,更换卡爪,卡爪配合不良,来料问题,J3675-ROC180,质量工单
WO0017480585,金属三通滴水,无明确故障件,重装,产品安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017466755,上门测分贝,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017476107,开鉴定单,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,非质量工单
WO0017518396,不出水,无明确故障件,打开进水三通,金属进水三通关闭,环境与使用问题,J3675-ROC150,非质量工单
WO0017492635,检测水质,无明确故障件,上门检测水质合格,用户使用需求,环境与使用问题,J3675-ROC210,非质量工单
WO0017422640,不出水,无明确故障件,开鉴定单退机,用户水压过高,环境与使用问题,J3675-ROC150,非质量工单
WO0017549911,EF报警,无明确故障件,重插龙头线,龙头线未插接到位,环境与使用问题,J3675-ROC150,非质量工单
WO0017499346,不出水,无明确故障件,重插电源线,用户移动机器，电源线松脱,环境与使用问题,J3675-ROC150,非质量工单
WO0017560841,闪绿灯不出水,无明确故障件,开鉴定单换机,过流保护,分类待定,J3683-ROC150,质量工单
WO0017514238,不出水,无明确故障件,清洗进水电磁阀,进水电磁阀堵塞,环境与使用问题,J3675-ROC180,非质量工单
WO0017514368,滤芯取不出,无明确故障件,开鉴定单退机,滤芯真空吸住，操作手法不正确,安装服务问题,J3675-ROC150,非质量工单
WO0017521199,闪绿灯不出水,无明确故障件,换减压阀,用户端水压高,环境与使用问题,J3675-ROC150,非质量工单
WO0017518637,不出水,无明确故障件,更换高压开关,原因待查,分类待定,J3675-ROC210,质量工单
WO0017520987,内部漏水,无明确故障件,开鉴定单退机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017569812,出水小,无明确故障件,更换接头,产品安装不规范,安装服务问题,J3675-ROC210,非质量工单
"WO0017589213
",TDS值不显示,TDS传感器接线端子,重接,TDS传感器接线端子松脱,制程问题,J3675-ROC150,质量工单
WO0017540624,不出水,无明确故障件,滤芯复位,滤芯弹出,环境与使用问题,J3675-ROC150,非质量工单
WO0017600612,通水试机,无明确故障件,通水试机,产品安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017551454,金属三通漏水,无明确故障件,加固金属阀,产品安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017608886,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017607806,废水长流,无明确故障件,无具体解决方案,机器正常冲洗,环境与使用问题,J3675-ROC210,非质量工单
WO0017613912,龙头松动,无明确故障件,固定龙头,产品安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017563526,不出水,无明确故障件,重启,用户使用按弹CF滤芯，过流保护,环境与使用问题,J3675-ROC210,非质量工单
WO0017619907,不出水,无明确故障件,打开角阀,用户水源关闭,环境与使用问题,J3675-ROC180,非质量工单
WO0017577081,频繁冲洗,无明确故障件,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017579716,TDS值不显示,无明确故障件,更换水龙头,原因待查,分类待定,J3675-ROC210,质量工单
WO0017578070,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017552857,内部漏水,无明确故障件,开鉴定单换机,用户使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017512032,TDS值不显示,无明确故障件,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017636954,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017626214,漏水,无明确故障件,快插接头重插,快插接头未插接好,安装服务问题,J3675-ROC180,非质量工单
WO0017636469,不出水,减压阀,更换减压阀,减压阀堵塞,环境与使用问题,J3675-ROC210,非质量工单
WO0017642698,不出水,无明确故障件,上门检查机器正常,用户误判,环境与使用问题,J3675-ROC150,非质量工单
WO0017642254,水管不够长,无明确故障件,PE管加长,PE管不够长,环境与使用问题,J3683-ROC150,非质量工单
WO0017631391,不出水,无明确故障件,清洗进水电磁阀,进水电磁阀堵塞,环境与使用问题,J3675-ROC210,非质量工单
WO0017568360,出水小,无明确故障件,开鉴定单换机,误判,环境与使用问题,J3675-ROC180,非质量工单
WO0017647713,不出水,无明确故障件,重新连接进水三通,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017655846,不出水,无明确故障件,滤芯复位,用户按弹滤芯弹出,环境与使用问题,J3675-ROC180,非质量工单
WO0017654166,EE报警,无明确故障件,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017658459,漏水保护,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017602779,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017661274,漏水保护,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017657083,进水口渗水,无明确故障件,拆管重插,产品安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017658299,三通漏水,无明确故障件,加垫片修复,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017569560,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017601355,噪音/异响,无明确故障件,增加隔音棉,橱柜共振,环境与使用问题,J3675-ROC180,非质量工单
WO0017603460,闪绿灯不出水,主控板,开鉴定单换机,回流电磁阀未打开,来料问题,J3675-ROC210,质量工单
WO0017655665,三通漏水,无明确故障件,更换三通,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017581503,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017606431,EE报警,TDS传感器,更换传感器,原因待查,分类待定,J3675-ROC180,质量工单
WO0017685400,闪绿灯不出水,无明确故障件,断电重启,咖啡厅用户量大,环境与使用问题,J3675-ROC180,非质量工单
WO0017552373,纯水小,无明确故障件,开鉴定单退机,误判,环境与使用问题,J3675-ROC150,非质量工单
WO0017617179,TDS值不显示,线束端子,开鉴定单换机,龙头线束插接端子松脱,制程问题,J3675-ROC180,质量工单
WO0017650429,金属进水三通堵塞,无明确故障件,清理金属进水三通,用户使用问题,环境与使用问题,J3675-ROC210,非质量工单
WO0017691084,不出水,无明确故障件,断电重启正常,用户使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017696200,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017696497,不出水,无明确故障件,打开进水阀,用户使用问题,环境与使用问题,J3675-ROC150,非质量工单
WO0017700664,EE故障,无明确故障件,断电重启正常,用户使用问题,环境与使用问题,J3675-ROC210,非质量工单
WO0017626476,噪音/异响,无明确故障件,开鉴定单退机,用户使用需求,环境与使用问题,J3675-ROC180,非质量工单
WO0017627000,噪音/异响,无明确故障件,开鉴定单换机,服务技能不足,安装服务问题,J3675-ROC150,非质量工单
WO0017636813,不出水,无明确故障件,检查水路,用户使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017641159,不出水,无明确故障件,清洗进水三通,外界管路堵塞,环境与使用问题,J3675-ROC180,非质量工单
WO0017691793,E8报警,故障件待定,解决方案待定,原因待查,分类待定,J3675-ROC180,质量工单
WO0017641758,TDS值不显示,无明确故障件,开鉴定单换机,龙头故障,来料问题,J3675-ROC180,质量工单
WO0017648925,不出纯水，排废水,逆止阀,逆止阀增加定位,NAC滤芯逆止阀未弹出,研发问题,J3675-ROC180,质量工单
WO0017708742,不出水,漏报开关,漏报复位,漏报误报,环境与使用问题,J3683-ROC150,非质量工单
WO0017714013,漏水,无明确故障件,重新插管,产品安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017652083,闪绿灯不出水,逆止阀,逆止阀增加定位,RO滤芯进水口逆止阀未弹出,研发问题,J3675-ROC150,质量工单
WO0017656138,噪音/异响,无明确故障件,加减震垫,橱柜共振,环境与使用问题,J3675-ROC210,非质量工单
WO0017714627,噪音/异响,无明确故障件,上门检测正常,用户误判,环境与使用问题,J3675-ROC180,非质量工单
WO0017723002,废水不停,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC180,质量工单
WO0017744097,异响,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017745884,龙头不显示,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC180,质量工单
WO0017688822,TDS值不显示,TDS传感器接线端子,线束端子重接,线束端子松脱,制程问题,J3675-ROC180,质量工单
WO0017690189,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017751689,龙头松动,无明确故障件,重新安装,安装使用一段时间后松动,环境与使用问题,J3675-ROC210,非质量工单
WO0017755985,内部漏水,无明确故障件,重装滤芯,安装使用18天后报修漏水，用户使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017677812,不出水,漏保开关,取消漏保,漏保误报,安装服务问题,J3675-ROC210,非质量工单
WO0017697028,E8报警,无明确故障件,开鉴定单换货,原因待查,分类待定,J3675-ROC210,质量工单
WO0017708950,调试,无明确故障件,调试,产品安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017756519,闪绿灯不出水,闪绿灯不出水,开鉴定单换货,原因待查,分类待定,J3675-ROC210,质量工单
WO0017769294,龙头不显示,故障件待定,解决方案待定,原因待查,分类待定,J3675-ROC180,质量工单
